df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,17.969 ,26.976 ,32.819 ,37.082 ,40.408 ,43.119 ,45.397 ,47.357 ,49.071 ,50.592 ,51.957 ,53.194 ,54.323 ,55.361 ,56.320 ,37.212 ,58.044 ,58.824 ,59.558 ,,60.91,,62.12,,63.22,,64.23,,65.15,,66.01,,66.81,,67.56,,68.26,,68.92,,,,,,,,,,7173,,,,,,,,,,73.97,,,,,,,,,,75.82,,,,,,,,,,77.4,,,,,,,,,,78.77,,,,,,,,,,79.98
2,,6.085 ,8.331 ,9.798 ,10.881 ,11.734 ,12.435 ,13.027 ,13.539 ,13.988 ,14.389 ,14.749 ,15.076 ,15.375 ,15.650 ,15.905 ,16.143 ,16.365 ,16.573 ,16.769 ,,17.13,,17.45,,17.75,,18.02,,18.27,,18.5,,18.72,,18.92,,19.11,,19.28,,,,,,,,,,20.05,,,,,,,,,,20.66,,,,,,,,,,21.16,,,,,,,,,,21.59,,,,,,,,,,21.96,,,,,,,,,,22.29
3,,4.501 ,5.910 ,6.825 ,7.502 ,8.037 ,8.478 ,8.852 ,9.177 ,9.462 ,9.717 ,9.946 ,10.155 ,10.346 ,10.522 ,10.686 ,10.838 ,10.980 ,11.114 ,11.240 ,,11.47,,11.68,,11.87,,12.05,,12.21,,12.36,,12.50,,12.63,,12.75,,12.87,,,,,,,,,,13.36,,,,,,,,,,13.76,,,,,,,,,,14.08,,,,,,,,,,14.36,,,,,,,,,,14.61,,,,,,,,,,14.82
4,,3.926 ,5.040 ,5.757 ,6.287 ,6.706 ,7.053 ,7.347 ,7.602 ,7.826 ,8.027 ,8.208 ,8.373 ,8.524 ,8.664 ,8.793 ,8.914 ,9.027 ,9.133 ,9.233 ,,9.418,,9.584,,9.736,,9.875,,10.00,,10.12,,10.23,,10.34,,10.44,,10.53,,,,,,,,,,10.93,,,,,,,,,,11.24,,,,,,,,,,1151,,,,,,,,,,11.73,,,,,,,,,,11.92,,,,,,,,,,12.09
5,,3.635 ,4.602 ,5.218 ,5.673 ,6.033 ,6.330 ,6.582 ,6.801 ,6.995 ,7.167 ,7.323 ,7.466 ,7.596 ,7.716 ,7.828 ,7.932 ,8.030 ,8.122 ,8.208 ,,8.368,,8.512,,8.643,,8.764,,8.875,,8.979,,9.075,,9.165,,9.250,,9.330,,,,,,,,,,9.674,,,,,,,,,,9.949,,,,,,,,,,10.18,,,,,,,,,,10.38,,,,,,,,,,10.54,,,,,,,,,,10.69
6,,3.460 ,4.339 ,4.396 ,5.305 ,5.628 ,5.895 ,6.122 ,6.319 ,6.493 ,6.649 ,6.789 ,6.917 ,7.034 ,7.143 ,7.204 ,7.338 ,7.426 ,7.508 ,7.586 ,,7.730,,7.861,,7.373 ,,8.088,,8.189,,8.283,,8.370,,8.452,,8.529,,8.601,,,,,,,,,,8.913,,,,,,,,,,9.163,,,,,,,,,,9.370,,,,,,,,,,9.548,,,,,,,,,,9.702,,,,,,,,,,9.839 
7,,3.344 ,4.165 ,4.681 ,5.060 ,5.359 ,5.606 ,5.815 ,5.997 ,6.158 ,6.302 ,6.431 ,6.550 ,6.658 ,6.759 ,6.852 ,6.939 ,7.020 ,7.097 ,7.169 ,,7.303,,7.423,,7.533,,7.634,,1.728,,7.814,,7.895,,7.972 ,,8.043,,8.110,,,,,,,,,,8.400,,,,,,,,,,8.632,,,,,,,,,,8.824,,,,,,,,,,8.989,,,,,,,,,,9.133,,,,,,,,,,9.261 
8,,3.261 ,4.041 ,4.529 ,4.386 ,5.167 ,5.399 ,5.596 ,5.767 ,5.918 ,6.053 ,6.175 ,6.287 ,6.389 ,6.483 ,6.571 ,6.653 ,6.729 ,6.801 ,6.369 ,,6.995,,7.109,,7.212,,7.307,,7.395,,7.477,,7.554,,7.625,,7.693,,7.756,,,,,,,,,,8.029,,,,,,,,,,8.248,,,,,,,,,,8.430,,,,,,,,,,8.586,,,,,,,,,,8.722,,,,,,,,,,8.843 
9,,3.199 ,3.948 ,4.415 ,4.755 ,5.024 ,5.244 ,9.432 ,5.595 ,5.738 ,5.867 ,5.983 ,6.089 ,6.186 ,6.276 ,6.359 ,6.437 ,6.510 ,6.579 ,6.643 ,,6.763,,6.871,,6.970,,7.061,,7.145,,7.222,,7.295,,7.363,,7.428,,7.488,,,,,,,,,,7.749,,,,,,,,,,7.958,,,,,,,,,,8.132,,,,,,,,,,8.281,,,,,,,,,,8.410,,,,,,,,,,8.526 
10,,3.151 ,3.877 ,4.327 ,4.654 ,4.912 ,5.124 ,5.304 ,5.460 ,5.598 ,5.722 ,5.833 ,5.935 ,6.028 ,6.114 ,6.194 ,6.269 ,6.339 ,6.405 ,6.467 ,,6.582,,6.686,,6.781,,6.368,,6.948,,7.023,,7.093,,7.159,,7.220,,7.279,,,,,,,,,,7523,,,,,,,,,,7.730,,,,,,,,,,7.897,,,,,,,,,,8.041,,,,,,,,,,8.166,,,,,,,,,,8.276 
11,,3.113 ,3.820 ,4.256 ,4.574 ,4.823 ,5.028 ,5.202 ,5.353 ,5.486 ,5.605 ,5.713 ,5.811 ,5.901 ,5.984 ,6.062 ,6.134 ,6.202 ,6.265 ,6.325 ,,6.436,,6.536,,6.628,,6.712,,6.730,,6.363,,6.930,,6.994,,7.053,,7.110,,,,,,,,,,7.352,,,,,,,,,,7.546,,,,,,,,,,7.708,,,,,,,,,,7.847,,,,,,,,,,7.968,,,,,,,,,,8.075 
12,,3.081 ,3.773 ,4.199 ,4.508 ,4.750 ,4.95,5.119 ,5.265 ,5.395 ,5.510 ,5.615 ,5.710 ,5.797 ,5.878 ,5.953 ,6.023 ,6.089 ,6.151 ,6.209 ,,6.317,,6.414,,6.503,,6.585,,6.660,,6.731,,6.796,,6.858,,6.916,,6.970,,,,,,,,,,7.205,,,,,,,,,,7.394,,,,,,,,,,7.552,,,,,,,,,,7.687,,,,,,,,,,7.804,,,,,,,,,,7.909 
13,,3.055 ,3.734 ,4.151 ,4.453 ,4.690 ,4.384 ,5.049 ,5.192 ,9.318 ,5.431 ,5.533 ,5.625 ,5.711 ,5.789 ,5.862 ,5.931 ,5.995 ,6.055 ,6.112 ,,6.217,,6.312,,6.398,,6.478,,6.551,,6.620,,6.684,,6.744,,6.800,,6.854,,,,,,,,,,7.083,,,,,,,,,,7.267,,,,,,,,,,7421,,,,,,,,,,7.552,,,,,,,,,,7.667,,,,,,,,,,7.769 
14,,3.033 ,3.701 ,4.111 ,4.407 ,4.639 ,4.829 ,4.99,5.130 ,9.253 ,5.364 ,5.463 ,5.554 ,5.637 ,5.714 ,5.785 ,5.852 ,5.915 ,5.973 ,6.029 ,,6.132,,6.224,,6.309,,6.387,,6.459,,6.526,,6.588,,6.647,,6.702,,6.754,,,,,,,,,,6.979,,,,,,,,,,7.159,,,,,,,,,,7.309,,,,,,,,,,7.438,,,,,,,,,,7.550,,,,,,,,,,7.650 
15,,3.014 ,3.673 ,4.076 ,4.367 ,4.595 ,4.782 ,4.94,5.077 ,5.198 ,5.306 ,5.403 ,9.492 ,5.574 ,5.649 ,5.719 ,5.785 ,5.846 ,5.904 ,5.958 ,,6.059,,6.149,,6.233,,6.309,,6.379,,6.445,,6.506,,6.564,,6.618,,6.669,,,,,,,,,,6.888,,,,,,,,,,7.065,,,,,,,,,,7.212,,,,,,,,,,7.339,,,,,,,,,,7.449,,,,,,,,,,7.546 
16,,2.998 ,3.649 ,4.046 ,4.333 ,4.557 ,4.741 ,4.396 ,5.031 ,5.150 ,5.256 ,9.352 ,5.439 ,5.519 ,5.593 ,5.662 ,5.726 ,5.786 ,5.843 ,5.896 ,,5.995,,6.084,,6.166,,6.241,,6.310,,6.374,,6.434,,6.491,,6.544,,6.594,,,,,,,,,,6.810,,,,,,,,,,6.984,,,,,,,,,,7.128,,,,,,,,,,7.252,,,,,,,,,,7.360,,,,,,,,,,7.457 
17,,2.984 ,3.628 ,4.020 ,4.303 ,4.524 ,4.705 ,4.358 ,4.991 ,5.108 ,5.212 ,5.306 ,5.392 ,5.471 ,5.544 ,5.612 ,5.675 ,5.734 ,5.790 ,5.842 ,,5.940,,6.027,,6.107,,6.181,,6.249,,6.313,,6.372,,6.427,,6.479,,6.529,,,,,,,,,,6.741,,,,,,,,,,6.912,,,,,,,,,,7.054,,,,,,,,,,7.176,,,,,,,,,,7.283,,,,,,,,,,7.377 
18,,2.971 ,3.609 ,3.997 ,4.276 ,4.494 ,4.673 ,4.824 ,4.955 ,5.071 ,3.173 ,5.266 ,5.351 ,5.429 ,5.501 ,5.567 ,5.629 ,5.688 ,5.743 ,5.794 ,,5.890,,3.977,,6.055,,6.128,,6.195,,6.258,,6.316,,6.371,,6.422,,6.471,,,,,,,,,,6.680,,,,,,,,,,6.348,,,,,,,,,,6.989,,,,,,,,,,7.109,,,,,,,,,,7.213,,,,,,,,,,7.307 
19,,2.960 ,3.593 ,3.977 ,4.253 ,4.468 ,4.645 ,4.794 ,4.924 ,5.037 ,5.139 ,9.231 ,5.314 ,5.391 ,5.462 ,5.528 ,5.589 ,5.647 ,5.701 ,5.752 ,,5.846,,5.932,,6.009,,6.081,,6.147,,6.209,,6.267,,6.321,,6.371,,6.419,,,,,,,,,,6.626,,,,,,,,,,6.792,,,,,,,,,,6.930,,,,,,,,,,7.048,,,,,,,,,,7.152,,,,,,,,,,7.244 
20,,2.950 ,3.578 ,3.958 ,4.232 ,4.445 ,4.620 ,4.768 ,4.895 ,5.008 ,5.108 ,5.199 ,5.282 ,5.357 ,9.427 ,9.492 ,5.553 ,5.610 ,5.663 ,5.714 ,,5.807,,5.891,,5.968,,6.039,,6.104,,6.165,,6.222,,6.275,,6.325,,6.373,,,,,,,,,,6.576,,,,,,,,,,6.740,,,,,,,,,,6.877,,,,,,,,,,6.994,,,,,,,,,,7.097,,,,,,,,,,7.187 
21,,2.941 ,3.565 ,3.942 ,4.213 ,4.424 ,4.597 ,4.743 ,4.870 ,4.981 ,5.081 ,5.170 ,9.252 ,9.327 ,5.396 ,5.460 ,5.520 ,5.576 ,5.629 ,5.679 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2.933 ,3.553 ,3.927 ,4.196 ,4.405 ,4.577 ,4.722 ,4.847 ,4.957 ,5.056 ,5.144 ,9.225 ,5.299 ,5.368 ,5.431 ,5.491 ,5.546 ,5.599 ,5.648 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,2.926 ,3.542 ,3.914 ,4.18,4.388 ,4.558 ,4.702 ,4.826 ,4.935 ,5.033 ,5.121 ,5.201 ,5.274 ,5.342 ,5.405 ,5.464 ,5.519 ,5.571 ,5.620 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2.919 ,3.532 ,3.901 ,4.166 ,4.373 ,4.541 ,4.684 ,4.807 ,4.915 ,5.012 ,5.099 ,3.179 ,5.251 ,5.319 ,5.381 ,5.439 ,5.494 ,5.545 ,5.594 ,,5.683,,5.764,,5.838,,5.906,,5.968,,6.027,,6.081,,6.132,,6.181,,6.226,,,,,,,,,,6.421,,,,,,,,,,6.579,,,,,,,,,,6.710,,,,,,,,,,6.822,,,,,,,,,,6.920,,,,,,,,,,7.008 
25,,2.913 ,3.523 ,3.890 ,4.153 ,4.358 ,4.526 ,4.667 ,4.789 ,4.897 ,4.993 ,5.079 ,5.158 ,5.230 ,5.297 ,5.359 ,5.417 ,5.471 ,5.522 ,5.570 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,2.907 ,3.514 ,3.880 ,4.141 ,4.345 ,4.511 ,4.652 ,4.773 ,4.380 ,4.375 ,5.061 ,5.139 ,5.211 ,5.277 ,5.339 ,5.396 ,5.450 ,5.500 ,5.548 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2.902 ,3.506 ,3.870 ,4.130 ,4.333 ,4.498 ,4.638 ,4.758 ,4.864 ,4.959 ,5.044 ,9.122 ,5.193 ,5.259 ,5.320 ,3.377 ,5.430 ,5.480 ,5.528 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,2.897 ,3.499 ,3.861 ,4.120 ,4.322 ,4.486 ,4.625 ,4.745 ,4.850 ,4.944 ,5.029 ,5.106 ,5.177 ,5.242 ,5.302 ,5.359 ,5.412 ,5.462 ,5.509 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2.892 ,3.493 ,3.853 ,4.111 ,4.311 ,4.475 ,4.613 ,4.732 ,4.837 ,4.930 ,5.014 ,5.091 ,5.161 ,5.226 ,5.286 ,9.342 ,5.395 ,5.445 ,5.491 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2.888 ,3.486 ,3.845 ,4.102 ,4.301 ,4.464 ,4.601 ,4.720 ,4.824 ,4.917 ,5.001 ,5.077 ,5.147 ,5.211 ,5.271 ,9.327 ,3.379 ,9.429 ,5.475 ,,5.561,,5.638,,5.709,,5.774,,5.833,,5.889,,5.941,,5.990,,6.037,,6.080,,,,,,,,,,6.267,,,,,,,,,,6.417,,,,,,,,,,6.543,,,,,,,,,,6.650,,,,,,,,,,6.744,,,,,,,,,,6.827 
31,,2.884 ,3.481 ,3.838 ,4.094 ,4.292 ,4.454 ,4.591 ,4.709 ,4.812 ,4.905 ,4.988 ,5.064 ,5.134 ,5.198 ,5.257 ,9.313 ,5.365 ,5.414 ,5.460 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2.881 ,3.475 ,3.832 ,4.086 ,4.284 ,4.445 ,4.581 ,4.698 ,4.802 ,4.394 ,4.976 ,5.052 ,5.121 ,5.185 ,5.244 ,5.299 ,5.351 ,5.400 ,5.445 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,2.877 ,3.470 ,3.825 ,4.079 ,4.276 ,4.436 ,4.572 ,4.689 ,4.791 ,4.883 ,4.965 ,5.040 ,5.109 ,3.173 ,9.232 ,5.287 ,5.338 ,5.386 ,5.432 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,2.874 ,3.465 ,3.820 ,4.072 ,4.268 ,4.428 ,4.563 ,4.680 ,4.782 ,4.873 ,4.955 ,5.030 ,5.098 ,5.161 ,5.220 ,58.275 ,5.326 ,5.374 ,5.420 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2.871 ,3.461 ,3.814 ,4.066 ,4.261 ,4.421 ,4.555 ,4.671 ,4.773 ,4.363 ,4.945 ,5.020 ,5.088 ,5.151 ,9.209 ,5.264 ,5.315 ,5.362 ,5.408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,2.868 ,3.457 ,3.809 ,4.060 ,4.255 ,4.414 ,4.547 ,4.663 ,4.764 ,4.855 ,4.936 ,5.010 ,5.078 ,5.141 ,5.199 ,9.253 ,5.304 ,5.352 ,5.397 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
